L1D_PEND_MISS:FB_FULL,huge,wb,t,O2,9837411098
L1D_PEND_MISS:FB_FULL,huge,wb,t,O2.double,10122998096
L1D_PEND_MISS:FB_FULL,huge,wb,t,O2.stride,23128716844
L1D_PEND_MISS:FB_FULL,huge,wb,nt,O2,4061294423
L1D_PEND_MISS:FB_FULL,huge,wb,nt,O2.double,10789718420
L1D_PEND_MISS:FB_FULL,huge,wb,nt,O2.stride,15479140563
L1D_PEND_MISS:FB_FULL,huge,wc,t,O2,0
L1D_PEND_MISS:FB_FULL,huge,wc,t,O2.double,0
L1D_PEND_MISS:FB_FULL,huge,wc,t,O2.stride,0
L1D_PEND_MISS:FB_FULL,huge,wc,nt,O2,6340908699
L1D_PEND_MISS:FB_FULL,huge,wc,nt,O2.double,13188153160
L1D_PEND_MISS:FB_FULL,huge,wc,nt,O2.stride,24400494114
L1D_PEND_MISS:FB_FULL,huge,unc,t,O2,0
L1D_PEND_MISS:FB_FULL,huge,unc,t,O2.double,0
L1D_PEND_MISS:FB_FULL,huge,unc,t,O2.stride,0
L1D_PEND_MISS:FB_FULL,huge,unc,nt,O2,0
L1D_PEND_MISS:FB_FULL,huge,unc,nt,O2.double,0
L1D_PEND_MISS:FB_FULL,huge,unc,nt,O2.stride,0
L1D_PEND_MISS:FB_FULL,small,wb,t,O2,2213007528
L1D_PEND_MISS:FB_FULL,small,wb,t,O2.double,2149246406
L1D_PEND_MISS:FB_FULL,small,wb,t,O2.stride,7206597744
L1D_PEND_MISS:FB_FULL,small,wb,nt,O2,1431284756
L1D_PEND_MISS:FB_FULL,small,wb,nt,O2.double,3968556096
L1D_PEND_MISS:FB_FULL,small,wb,nt,O2.stride,6180602865
L1D_PEND_MISS:FB_FULL,small,wc,t,O2,0
L1D_PEND_MISS:FB_FULL,small,wc,t,O2.double,0
L1D_PEND_MISS:FB_FULL,small,wc,t,O2.stride,0
L1D_PEND_MISS:FB_FULL,small,wc,nt,O2,6432897573
L1D_PEND_MISS:FB_FULL,small,wc,nt,O2.double,13415169798
L1D_PEND_MISS:FB_FULL,small,wc,nt,O2.stride,24595204787
L1D_PEND_MISS:FB_FULL,small,unc,t,O2,0
L1D_PEND_MISS:FB_FULL,small,unc,t,O2.double,0
L1D_PEND_MISS:FB_FULL,small,unc,t,O2.stride,0
L1D_PEND_MISS:FB_FULL,small,unc,nt,O2,0
L1D_PEND_MISS:FB_FULL,small,unc,nt,O2.double,0
L1D_PEND_MISS:FB_FULL,small,unc,nt,O2.stride,1
