"","counter","size","memtype","temp","opt","mean","n","sd","se","ic"
"1","rapl::RAPL_ENERGY_CORES:cpu=3","huge","unc","nt","O2",3039409261772.8,5,21266619919.9842,9510721558.54714,24499618734.8174
"2","rapl::RAPL_ENERGY_CORES:cpu=3","huge","unc","nt","O2.double",3034022150144,5,10367720177.1647,4636585417.56729,11943844035.6534
"3","rapl::RAPL_ENERGY_CORES:cpu=3","huge","unc","nt","O2.pchasing",3241077427404.8,5,13401814816.9352,5993473790.50618,15439188484.3439
"4","rapl::RAPL_ENERGY_CORES:cpu=3","huge","unc","nt","O2.stride",3210144645120,5,2544041902.12009,1137730126.14968,2930792804.96157
"5","rapl::RAPL_ENERGY_CORES:cpu=3","huge","unc","t","O2",3048047326003.2,5,22333445818.9121,9987820604.5792,25728625877.396
"6","rapl::RAPL_ENERGY_CORES:cpu=3","huge","unc","t","O2.double",3055977391718.4,5,19977184845.4906,8934068662.71911,23014160875.1644
"7","rapl::RAPL_ENERGY_CORES:cpu=3","huge","unc","t","O2.pchasing",3208625573068.8,5,9613590441.58266,4299328347.04421,11075069821.9859
"8","rapl::RAPL_ENERGY_CORES:cpu=3","huge","unc","t","O2.stride",3217151649382.4,5,10468674892.8674,4681733738.95935,12060146111.5593
"9","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wb","nt","O2",201656526438.4,5,458631645.136626,205106307.031611,528353846.913431
"10","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wb","nt","O2.double",212818670387.2,5,3189623470.92394,1426442980.72295,3674517118.34232
"11","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wb","nt","O2.pchasing",3060454286950.4,5,10342512227.4526,4625312079.74134,11914803917.4137
"12","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wb","nt","O2.stride",394891939020.8,5,1089950719.99721,487440780.40772,1255647450.33029
"13","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wb","t","O2",209418924851.2,5,4732169879.016,2116290706.11135,5451564858.94283
"14","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wb","t","O2.double",206542890598.4,5,6304436313.94217,2819429631.55858,7262850730.8949
"15","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wb","t","O2.pchasing",3015590648217.6,5,13787933655.3863,6166151384.54017,15884005966.5755
"16","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wb","t","O2.stride",410661840486.4,5,11168026694.9994,4994493372.91019,12865814928.6166
"17","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wc","nt","O2",212167032832,5,979242762.923227,437930676.874209,1128109423.62796
"18","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wc","nt","O2.double",225898345267.2,5,695949230.288882,311237957.562919,801748978.68208
"19","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wc","nt","O2.pchasing",3449095192576,5,18996703967.8982,8495584284.13208,21884625115.9242
"20","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wc","nt","O2.stride",459251174604.8,5,1662413344.04898,743453848.799251,1915137114.50687
"21","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wc","t","O2",3027117382041.6,5,3159669592.04765,1413047198.85152,3640009584.24151
"22","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wc","t","O2.double",3024832744652.8,5,2926831781.04453,1308918964.22447,3371775251.84224
"23","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wc","t","O2.pchasing",3216409310003.2,5,11783645775.6374,5269806595.42071,13575021789.8038
"24","rapl::RAPL_ENERGY_CORES:cpu=3","huge","wc","t","O2.stride",3220877030195.2,5,13487813229.7571,6031933449.91157,15538260566.9722
"25","rapl::RAPL_ENERGY_CORES:cpu=3","small","unc","nt","O2",3035328518553.6,5,18230668184.5884,8153002667.19648,21002134870.6981
"26","rapl::RAPL_ENERGY_CORES:cpu=3","small","unc","nt","O2.double",3019597938688,5,1202229024.15338,537653164.506037,1384994551.76755
"27","rapl::RAPL_ENERGY_CORES:cpu=3","small","unc","nt","O2.pchasing",3251848819507.2,5,11689879528.8482,5227873055.05755,13467000989.8282
"28","rapl::RAPL_ENERGY_CORES:cpu=3","small","unc","nt","O2.stride",3215720867430.4,5,11455738376.0732,5123161948.27055,13197265178.7449
"29","rapl::RAPL_ENERGY_CORES:cpu=3","small","unc","t","O2",3026561164902.4,5,11280827094.1956,5044939245.00854,12995763495.142
"30","rapl::RAPL_ENERGY_CORES:cpu=3","small","unc","t","O2.double",3040633316966.4,5,13660714699.3624,6109257337.80098,15737446902.1753
"31","rapl::RAPL_ENERGY_CORES:cpu=3","small","unc","t","O2.pchasing",3207043271884.8,5,14082045151.6732,6297682044.27254,16222828946.0461
"32","rapl::RAPL_ENERGY_CORES:cpu=3","small","unc","t","O2.stride",3214454397337.6,5,8024561382.83252,3588692948.32665,9244473034.88944
"33","rapl::RAPL_ENERGY_CORES:cpu=3","small","wb","nt","O2",81719250124.8,5,5722913678.50237,2559364802.89893,6592923732.26766
"34","rapl::RAPL_ENERGY_CORES:cpu=3","small","wb","nt","O2.double",71621305958.4,5,1225212521.38225,547931696.938925,1411472051.31467
"35","rapl::RAPL_ENERGY_CORES:cpu=3","small","wb","nt","O2.pchasing",765073345740.8,5,106552561129.053,47651753972.2529,122750918232.523
"36","rapl::RAPL_ENERGY_CORES:cpu=3","small","wb","nt","O2.stride",134951993344,5,11069446412.6927,4950406930.41442,12752248252.7475
"37","rapl::RAPL_ENERGY_CORES:cpu=3","small","wb","t","O2",86994635980.8,5,10876818031.9636,4864260899.6732,12530336077.5582
"38","rapl::RAPL_ENERGY_CORES:cpu=3","small","wb","t","O2.double",86647242752,5,2705254573.69064,1209826624.6429,3116513385.08011
"39","rapl::RAPL_ENERGY_CORES:cpu=3","small","wb","t","O2.pchasing",735272868249.6,5,175520333455.566,78495079408.015,202203324555.047
"40","rapl::RAPL_ENERGY_CORES:cpu=3","small","wb","t","O2.stride",151004119040,5,22074114179.9126,9871843969.87532,25429870066.3988
"41","rapl::RAPL_ENERGY_CORES:cpu=3","small","wc","nt","O2",213277002956.8,5,724500154.542993,324006319.053447,834640277.88168
"42","rapl::RAPL_ENERGY_CORES:cpu=3","small","wc","nt","O2.double",272498950144,5,97513079569.6699,43609174922.6256,112337234600.683
"43","rapl::RAPL_ENERGY_CORES:cpu=3","small","wc","nt","O2.pchasing",3439179700633.6,5,17350126425.4916,7759212421.12292,19987731196.8126
"44","rapl::RAPL_ENERGY_CORES:cpu=3","small","wc","nt","O2.stride",485996730777.6,5,49834816227.8114,22286807346.3192,57410815724.1183
"45","rapl::RAPL_ENERGY_CORES:cpu=3","small","wc","t","O2",3029218675916.8,5,11811678285.9404,5282343115.1442,13607315864.6115
"46","rapl::RAPL_ENERGY_CORES:cpu=3","small","wc","t","O2.double",3027982195097.6,5,12474689642.8379,5578850807.91963,14371119681.201
"47","rapl::RAPL_ENERGY_CORES:cpu=3","small","wc","t","O2.pchasing",3205336819302.4,5,11869549520.1147,5308223917.85531,13673984812.3953
"48","rapl::RAPL_ENERGY_CORES:cpu=3","small","wc","t","O2.stride",3214362594508.8,5,7247381542.61443,3241127557.63263,8349144588.46166
"49","rapl::RAPL_ENERGY_PKG:cpu=3","huge","unc","nt","O2",7503430182502.4,5,30864814069.6123,13803164474.509,35556951686.3352
"50","rapl::RAPL_ENERGY_PKG:cpu=3","huge","unc","nt","O2.double",7479239481753.6,5,964871740.333495,431503760.190844,1111553686.25161
"51","rapl::RAPL_ENERGY_PKG:cpu=3","huge","unc","nt","O2.pchasing",8009511180697.6,5,15806289134.9978,7068787395.5743,18209196330.9994
"52","rapl::RAPL_ENERGY_PKG:cpu=3","huge","unc","nt","O2.stride",7945783659724.8,5,6826885288.35397,3053075915.87055,7864723559.28253
"53","rapl::RAPL_ENERGY_PKG:cpu=3","huge","unc","t","O2",7505015262412.8,5,30375131488.0176,13584171766.5403,34992826470.6079
"54","rapl::RAPL_ENERGY_PKG:cpu=3","huge","unc","t","O2.double",7507430342656,5,26223127961.2386,11727339340.801,30209626141.9034
"55","rapl::RAPL_ENERGY_PKG:cpu=3","huge","unc","t","O2.pchasing",7937010381619.2,5,3374480291.10489,1509113463.92876,3887476283.08049
"56","rapl::RAPL_ENERGY_PKG:cpu=3","huge","unc","t","O2.stride",7946321684070.4,5,2149856557.80028,961445081.023027,2476682528.71532
"57","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wb","nt","O2",457460416512,5,1814301493.15074,811380294.072886,2090115637.53176
"58","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wb","nt","O2.double",462896182067.2,5,2621880891.75334,1172540780.57365,3020465050.75772
"59","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wb","nt","O2.pchasing",7503712931020.8,5,33756401644.3369,15096321750.5046,38888124829.2999
"60","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wb","nt","O2.stride",884973607321.6,5,1676175349.92346,749608404.927672,1930991251.09368
"61","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wb","t","O2",455875179315.2,5,4375987970.71348,1957001314.24734,5041235385.50115
"62","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wb","t","O2.double",448135115571.2,5,4475074230.27779,2001314036.65174,5155384958.41488
"63","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wb","t","O2.pchasing",7391390990336,5,4857459603.97462,2172321974.48929,5595901406.28441
"64","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wb","t","O2.stride",886051019161.6,5,5180722397.13083,2316889490.50804,5968307327.54871
"65","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wc","nt","O2",507655120486.4,5,1687890402.62758,754847535.76895,1944487252.14081
"66","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wc","nt","O2.double",514333448601.6,5,307429346.661776,137486583.482816,354165439.051734
"67","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wc","nt","O2.pchasing",8491578897203.2,5,6509274658.39785,2911036124.07886,7498829055.62715
"68","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wc","nt","O2.stride",1064861066854.4,5,362898892.779626,162293318.64293,418067588.824188
"69","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wc","t","O2",7494909716070.4,5,24434878582.1183,10927609906.314,28149523118.6649
"70","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wc","t","O2.double",7514050632089.6,5,38831043177.4929,17365770436.4207,44734224644.2198
"71","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wc","t","O2.pchasing",7939967523225.6,5,3457552253.59776,1546264374.96043,3983177029.89808
"72","rapl::RAPL_ENERGY_PKG:cpu=3","huge","wc","t","O2.stride",7943958560768,5,1919895194.60726,858603232.963402,2211761928.11372
"73","rapl::RAPL_ENERGY_PKG:cpu=3","small","unc","nt","O2",7488799558860.8,5,10448993188.0641,4672931812.98874,12037472350.259
"74","rapl::RAPL_ENERGY_PKG:cpu=3","small","unc","nt","O2.double",7478543279718.4,5,2813242330.24181,1258120217.52012,3240917680.33182
"75","rapl::RAPL_ENERGY_PKG:cpu=3","small","unc","nt","O2.pchasing",8036588873318.4,5,19402618299.1874,8677114691.69289,22352247445.8009
"76","rapl::RAPL_ENERGY_PKG:cpu=3","small","unc","nt","O2.stride",7949822197760,5,10191189599.0943,4557638543.03274,11740476886.8524
"77","rapl::RAPL_ENERGY_PKG:cpu=3","small","unc","t","O2",7495971241984,5,11701513454.1357,5233075904.61517,13480403530.2887
"78","rapl::RAPL_ENERGY_PKG:cpu=3","small","unc","t","O2.double",7490888112537.6,5,18913511795.0458,8458379613.39331,21788785884.1012
"79","rapl::RAPL_ENERGY_PKG:cpu=3","small","unc","t","O2.pchasing",7930915114188.8,5,1424769911.97744,637176475.09559,1641366599.84624
"80","rapl::RAPL_ENERGY_PKG:cpu=3","small","unc","t","O2.stride",7941805414809.6,5,6164814343.34268,2756988788.07599,7102003118.08376
"81","rapl::RAPL_ENERGY_PKG:cpu=3","small","wb","nt","O2",165256101888,5,11633856060.1135,5202818598.17233,13402460708.8919
"82","rapl::RAPL_ENERGY_PKG:cpu=3","small","wb","nt","O2.double",149084543385.6,5,22420170083.1309,10026604874.5976,25828534156.9633
"83","rapl::RAPL_ENERGY_PKG:cpu=3","small","wb","nt","O2.pchasing",1786802182553.6,5,221607355923.224,99105822431.6641,255296598583.967
"84","rapl::RAPL_ENERGY_PKG:cpu=3","small","wb","nt","O2.stride",269509040537.6,5,24605690363.77,11003999257.3402,28346302086.9085
"85","rapl::RAPL_ENERGY_PKG:cpu=3","small","wb","t","O2",155539524812.8,5,20735576158.8815,9273231568.77658,23887844521.1685
"86","rapl::RAPL_ENERGY_PKG:cpu=3","small","wb","t","O2.double",134985233203.2,5,2938082770.33879,1313950559.59969,3384736641.5288
"87","rapl::RAPL_ENERGY_PKG:cpu=3","small","wb","t","O2.pchasing",1484685259571.2,5,29962366272.5779,13399577550.4462,34517311769.9495
"88","rapl::RAPL_ENERGY_PKG:cpu=3","small","wb","t","O2.stride",262620787507.2,5,12805314080.4814,5726710551.43834,14752006380.5052
"89","rapl::RAPL_ENERGY_PKG:cpu=3","small","wc","nt","O2",511285710028.8,5,835306099.651931,373560244.168386,962291188.977762
"90","rapl::RAPL_ENERGY_PKG:cpu=3","small","wc","nt","O2.double",522854753894.4,5,2118030312.45535,947211951.411056,2440017986.83488
"91","rapl::RAPL_ENERGY_PKG:cpu=3","small","wc","nt","O2.pchasing",8487949041664,5,11284597327.9556,5046625344.80425,13000106888.2158
"92","rapl::RAPL_ENERGY_PKG:cpu=3","small","wc","nt","O2.stride",1076751813836.8,5,856595169.615875,383081005.691812,986816670.662107
"93","rapl::RAPL_ENERGY_PKG:cpu=3","small","wc","t","O2",7502440169472,5,13607191668.159,6085321110.57446,15675787180.8398
"94","rapl::RAPL_ENERGY_PKG:cpu=3","small","wc","t","O2.double",7488838303744,5,4352350334.10762,1946430241.79171,5014004302.85545
"95","rapl::RAPL_ENERGY_PKG:cpu=3","small","wc","t","O2.pchasing",7926085477990.4,5,4194671729.31354,1875914226.00834,4832355046.19747
"96","rapl::RAPL_ENERGY_PKG:cpu=3","small","wc","t","O2.stride",7945131655168,5,5809369120.71335,2598028852.06065,6692522322.90822
