"","app","displaysize","mean_cyc","mean_l3m","mean_l3l","sd_c","sd_m","sd_l"
"1","memory_load_dep"," 1024KB",18023005991.25,25356.75,524515969.892857,2091559.67554036,7382.72289237213,1129.3217347983
"2","memory_load_dep"," 16384KB",73489418795.7143,305624395.321429,526452026.321429,345631677.346879,2126124.68871788,7634.77930047301
"3","memory_load_dep"," 2048KB",18049108970.3929,71838.2857142857,524501031.214286,6979221.38045827,35377.721759298,670.718263817223
"4","memory_load_dep"," 256KB",11916627789.3571,11856.6428571429,252796077.107143,1449270244.60016,4150.7470386469,66054112.5382893
"5","memory_load_dep"," 32768KB",94510820441.5714,432384925.392857,526790888.571429,145328083.916138,933223.058167741,4612.28481524409
"6","memory_load_dep"," 4096KB",18501847846.8929,2421220.82142857,524797092.464286,472995909.894863,2644082.60463107,12432.7849759391
"7","memory_load_dep"," 512KB",17893900250.5,10744.3571428571,520173720.285714,241890122.199916,4566.10333276664,10993337.1814565
"8","memory_load_dep"," 8192KB",34292155068.1429,85558347.4285714,525850356.428571,790369765.054535,5058899.30270224,11730.5383332267
"9","memory_load_ind"," 1024KB",2534065423.28571,22363.0357142857,524318048.25,115834.752406609,5355.29932408349,299.019462391479
"10","memory_load_ind"," 16384KB",7099857882.89286,293274716.142857,525462947.642857,7024625.44032038,391173.478222729,3617.74640527913
"11","memory_load_ind"," 2048KB",2535915547.35714,61432.0714285714,524319765.071429,616106.030491038,35752.4344220896,349.074111686523
"12","memory_load_ind"," 256KB",1905799098.85714,2917.14285714286,289745938.821429,145551222.094691,1458.13545868449,54619406.369225
"13","memory_load_ind"," 32768KB",9096695113.85185,424615062.666667,525539798.888889,6315328.76575731,379214.994235866,5423.97092212915
"14","memory_load_ind"," 4096KB",2599492573.25,3939989.25,524355930.928571,84072098.7774522,5417732.38757308,1979.30580663789
"15","memory_load_ind"," 512KB",2531305271.5,11810.7857142857,523571206.357143,10290157.7278537,6990.8262551832,3867661.39521352
"16","memory_load_ind"," 8192KB",3949374228.46429,87306733.1428571,525391276.571429,839971414.678581,52930856.1860252,11961.0713796994
"17","memory_load_random"," 1024KB",2342320441.5,5354.39285714286,394158039.142857,497516.8981607,1575.18209033904,153157.714355404
"18","memory_load_random"," 16384KB",8117980943.03571,265812395.964286,529166610.392857,111447888.658219,662725.622503483,57481.5582409081
"19","memory_load_random"," 2048KB",2473990382.92857,15415.5714285714,459546854.714286,395273.362585376,7821.50804076465,49602.7826451054
"20","memory_load_random"," 256KB",1706847589.14286,1613.85714285714,66172745.5714286,23388632.8537405,438.661492225959,16458909.3427752
"21","memory_load_random"," 32768KB",10795032819.8929,396330551.357143,535715681.071429,217204698.61876,621602.883462508,84155.3698843103
"22","memory_load_random"," 4096KB",2556902495.92857,558061.214285714,492428344.607143,19686788.4526868,794245.096534385,23100.5891224209
"23","memory_load_random"," 512KB",2087172022.64286,2823.21428571429,262531605.928571,4047252.2321523,814.167393705708,2329033.39436046
"24","memory_load_random"," 8192KB",4068683066.78571,56725308,517385753.142857,64624120.7614697,3214629.02807108,110914.329303267
